id,title,description,instructions,image_url,total_calories,total_protein,total_fat,total_carbohydrates
11,天ぷら,旬の野菜や魚介を、サクサクの衣で楽しむ日本の代表的な揚げ物。天つゆや塩で、素材の味を楽しみます。,"1. エビは殻を剥いて背わたを取り、野菜は食べやすい大きさに切る。\n2. 冷水、卵、小麦粉をさっくりと混ぜて衣を作る。\n3. 具材に衣をつけ、170℃の油でカラッとするまで揚げる。\n4. 油をよく切って盛り付ける。",,500,15,35,30
12,牛丼,甘辛く煮た牛肉と玉ねぎをご飯に乗せた、手軽で美味しい日本のファストフード。紅生姜との相性も抜群です。,"1. 牛バラ薄切り肉と玉ねぎを食べやすい大きさに切る。\n2. 鍋にだし汁、醤油、みりん、酒、砂糖を入れて煮立たせる。\n3. 玉ねぎを加えてしんなりするまで煮てから、牛肉を加えてさっと煮る。\n4. 温かいご飯の上に乗せる。",,750,25,30,90
13,お好み焼き,キャベツたっぷりの生地に、豚肉や魚介などお好みの具材を入れて焼く、関西風の粉物料理。ソースとマヨネーズが味の決め手。,"1. ボウルに小麦粉、だし汁、卵、すりおろした長芋を入れて混ぜ、生地を作る。\n2. 千切りキャベツと天かす、紅生姜を加えて混ぜ合わせる。\n3. 熱したホットプレートやフライパンに生地を広げ、豚バラ肉を乗せて焼く。\n4. 裏返して蓋をし、蒸し焼きにする。\n5. 再び裏返し、ソース、マヨネーズ、青のり、かつお節をかける。",,600,20,30,60
14,だし巻き卵,だしの風味が豊かな、ふんわりとした日本の卵焼き。朝食やお弁当の定番おかずです。,"1. ボウルに卵を溶きほぐし、だし汁、薄口醤油、みりん、塩を加えて混ぜ合わせる。\n2. 卵焼き器を熱して油を薄くひき、卵液の1/4量を流し入れる。\n3. 半熟状になったら奥から手前に巻き、奥に移動させる。\n4. 再び油をひき、卵液の1/4量を流し入れて、巻いた卵の下にも流し込む。同様に数回繰り返す。\n5. 巻きすで形を整える。",,150,12,10,2
15,きんぴらごぼう,ごぼうと人参を甘辛く炒め煮にした、食物繊維豊富な常備菜。ごま油の香りと唐辛子のピリ辛さがアクセント。,"1. ごぼうはささがきにして水にさらし、人参は千切りにする。\n2. フライパンにごま油を熱し、水気を切ったごぼうと人参を炒める。\n3. しんなりしたら、醤油、みりん、砂糖、鷹の爪を加えて汁気がなくなるまで炒り煮にする。\n4. 仕上げに白ごまを振る。",,130,3,7,15
16,アジの開き,アジを開いて塩水に漬けて干した、日本の伝統的な干物。グリルで焼くだけで、凝縮された旨味を楽しめます。,"1. 魚焼きグリルをよく熱しておく。\n2. アジの開きを皮目を上にして並べ、中火で5〜7分焼く。\n3. 焼き色がついたら完成。大根おろしや醤油を添える。",,200,20,12,0
17,筑前煮,鶏肉と根菜を油で炒めてから煮る、福岡県の郷土料理。それぞれの具材の旨味が合わさった、コクのある味わいです。,"1. 鶏もも肉、ごぼう、人参、れんこん、こんにゃく、干ししいたけを食べやすい大きさに切る。\n2. 鍋にごま油を熱し、鶏肉を炒める。色が変わったら、戻した干ししいたけ以外の野菜とこんにゃくを加えて炒める。\n3. だし汁（しいたけの戻し汁も含む）、酒、みりん、砂糖を加えて煮立たせる。\n4. アクを取り、落し蓋をして15分ほど煮る。\n5. 醤油を加えて、さらに煮汁が少なくなるまで煮る。",,350,20,15,30
18,回鍋肉（ホイコーロー）,豚肉とキャベツを甜麺醤ベースの甘辛い味噌ダレで炒めた、ご飯が進む人気の中華料理。,"1. 豚バラ肉は食べやすい大きさに、キャベツはざく切り、ピーマンは乱切りにする。\n2. 甜麺醤、豆板醤、醤油、酒、砂糖を混ぜ合わせておく。\n3. フライパンに油を熱し、豚肉をカリッとするまで炒めて一旦取り出す。\n4. 同じフライパンでキャベツとピーマンをさっと炒める。\n5. 豚肉を戻し入れ、合わせ調味料を加えて全体に絡ませながら手早く炒める。",,480,15,38,18
19,茶碗蒸し,卵とだし汁を合わせて、鶏肉やエビ、しいたけなどの具材と共に蒸した、口当たりの滑らかな料理。,"1. 卵を溶きほぐし、冷ましただし汁と薄口醤油、みりん、塩を加えて混ぜ、一度濾す。\n2. 器に、一口大に切った鶏肉、エビ、かまぼこ、しいたけ、ぎんなんなどの具材を入れる。\n3. 卵液を静かに注ぎ入れる。\n4. 蒸気の上がった蒸し器に入れ、最初は強火で1分、その後弱火にして10〜15分蒸す。竹串を刺して透明な汁が出れば完成。",,150,12,8,6
20,かぼちゃの煮物,かぼちゃをだし汁と調味料で甘く煮た、ほっとする味わいの家庭料理。素材の甘さが引き立ちます。,"1. かぼちゃは種とワタを取り、食べやすい大きさに切る。皮をところどころ剥くと味が染み込みやすい。\n2. 鍋にかぼちゃが重ならないように並べ、だし汁、醤油、みりん、砂糖を加える。\n3. 落し蓋をして、中火でかぼちゃが柔らかくなるまで10〜15分煮る。\n4. 火を止めて、そのまま冷まして味を含ませる。",,200,4,1,45
21,ブリの照り焼き,脂の乗ったブリを甘辛いタレで香ばしく焼き上げた一品。,"1. ブリに塩を振り、水分を拭く。\n2. フライパンで両面を焼き、醤油・みりん・酒・砂糖のタレを絡める。",,380,24,28,8
22,餃子,豚ひき肉と野菜のあんを薄皮で包んで焼いた、人気の中華料理。,"1. キャベツとニラをみじん切りにし、塩揉みして水気を絞る。\n2. 豚ひき肉と調味料、野菜を混ぜてあんを作る。\n3. 皮で包み、フライパンで蒸し焼きにする。",,450,20,25,35
23,とんかつ,厚切りの豚肉に衣をつけて揚げた、ボリューム満点の洋食。,"1. 豚ロース肉の筋を切り、塩胡椒する。\n2. 小麦粉、溶き卵、パン粉の順に衣をつける。\n3. 170℃の油できつね色になるまで揚げる。",,580,28,40,25
24,カツ丼,とんかつを甘辛いだしで煮て、卵でとじた丼ぶり。,"1. 玉ねぎをだし汁で煮る。\n2. とんかつを乗せ、溶き卵を回しかけて半熟状にし、ご飯に乗せる。",,950,40,45,90
25,酢豚,揚げた豚肉と色とりどりの野菜を、甘酢あんで絡めた中華料理。,"1. 豚肉に下味をつけて揚げ、野菜は素揚げする。\n2. 酢、醤油、砂糖、ケチャップなどで作った甘酢あんに、具材を絡める。",,600,20,38,40
26,八宝菜,エビ、イカ、豚肉、たっぷりの野菜を炒め合わせた、具沢山のあんかけ料理。,"1. 具材を食べやすい大きさに切る。\n2. フライパンで肉、魚介、野菜の順に炒める。\n3. スープと調味料を加え、水溶き片栗粉でとろみをつける。",,320,18,20,16
27,オムライス,鶏肉入りのケチャップライスを、薄焼き卵で包んだ洋食の定番。,"1. 鶏肉と玉ねぎを炒め、ご飯とケチャップを加えてケチャップライスを作る。\n2. 薄焼き卵を焼き、ケチャップライスを包む。",,780,25,35,85
28,グラタン,マカロニや鶏肉などを、ホワイトソースとチーズで焼き上げた、熱々のオーブン料理。,"1. 具材を炒め、小麦粉と牛乳でホワイトソースを作る。\n2. 茹でたマカロニと具材をソースで和え、チーズを乗せてオーブンで焼く。",,650,30,38,45
29,ちらし寿司,酢飯の上に、錦糸卵、エビ、魚の切り身、野菜などを彩りよく散した、お祝いの席の定番。,"1. 炊いたご飯に合わせ酢を混ぜて酢飯を作る。\n2. 錦糸卵や茹でたエビ、刻み海苔など、お好みの具材を乗せる。",,550,25,10,90
30,そうめん,夏の定番。冷たいつゆでさっぱりといただく、のどごしの良い細い麺。,"1. 沸騰したお湯でそうめんを茹で、冷水でしめる。\n2. 麺つゆに、ネギや生姜などの薬味を添える。",,350,10,2,70
31,冷やし中華,冷たい中華麺に、きゅうり、ハム、錦糸卵などの具材を乗せ、甘酸っぱいタレでいただく夏の風物詩。,"1. 麺を茹でて冷水でしめる。\n2. 千切りにした具材を彩りよく盛り付け、タレをかける。",,600,25,15,85
32,焼きそば,中華麺と豚肉、野菜をソースで炒めた、屋台でもおなじみのB級グルメ。,"1. 豚肉とキャベツなどの野菜を炒める。\n2. 麺を加えてほぐし、ウスターソースや専用ソースで味付けする。",,580,18,22,75
33,うどん（かけうどん）,温かいだし汁でいただく、シンプルながら奥深い味わいの麺料理。,"1. 冷凍うどんなどを茹でる。\n2. だし汁、薄口醤油、みりんで作ったつゆをかける。ネギやかまぼこを乗せる。",,400,12,3,80
34,そば（かけそば）,風味豊かなそばを、温かい醤油ベースのつゆでいただく、日本の代表的な麺料理。,"1. そばを茹でる。\n2. だし汁、醤油、みりんで作ったつゆをかける。",,420,15,4,78
35,おでん,大根、こんにゃく、卵などを、だしでじっくり煮込んだ冬の定番。,"1. 大根は下茹でし、こんにゃくはアク抜きする。\n2. だし汁に具材を入れ、味が染みるまで弱火で煮込む。",,450,25,20,40
36,すき焼き,薄切りの牛肉と野菜、豆腐などを、醤油と砂糖で味付けした割り下で煮ながらいただく鍋料理。,"1. 牛脂を鍋で熱し、牛肉を軽く焼く。\n2. 割り下と野菜、豆腐などを加えて煮込む。溶き卵につけていただく。",,800,40,60,20
37,しゃぶしゃぶ,薄切りの牛肉や豚肉を、煮立っただし汁にさっとくぐらせ、ポン酢やごまだれでいただく鍋料理。,"1. 鍋に昆布でとっただし汁を沸かす。\n2. 肉や野菜をだしにくぐらせ、火が通ったらタレにつけていただく。",,650,35,45,20
38,焼き鳥,鶏肉を串に刺し、タレや塩で香ばしく焼き上げた、居酒屋の定番メニュー。,"1. 鶏もも肉などを一口大に切り、ネギなどと一緒に串に刺す。\n2. グリルやフライパンで焼き、タレまたは塩で味付けする。",,250,20,18,2
39,コロッケ,潰したじゃがいもとひき肉などを混ぜて成形し、衣をつけて揚げた洋食。,"1. じゃがいもを茹でて潰し、炒めたひき肉や玉ねぎと混ぜる。\n2. 成形し、小麦粉、卵、パン粉の衣をつけて揚げる。",,350,10,20,30
40,メンチカツ,豚ひき肉とみじん切りの玉ねぎを混ぜて成形し、衣をつけて揚げたカツ。,"1. ひき肉と炒めた玉ねぎ、パン粉などを混ぜて成形する。\n2. 小麦粉、卵、パン粉の衣をつけて揚げる。",,520,22,38,20
41,エビチリ,プリプリのエビを、豆板醤とケチャップベースの甘辛いチリソースで炒めた人気の中華料理。,"1. エビに下処理をし、片栗粉をまぶして揚げるか炒める。\n2. チリソースの材料をフライパンで煮立たせ、エビを加えて絡める。",,380,18,22,25
42,エビマヨ,揚げたエビを、マヨネーズベースの特製ソースで和えた、子どもにも人気のまろやかな一品。,"1. エビに下処理をし、衣をつけて揚げる。\n2. マヨネーズ、ケチャップ、練乳などを混ぜたソースで和える。",,450,15,35,18
43,豚の角煮,豚バラブロック肉を、醤油、砂糖、香味野菜と共に、柔らかくなるまでじっくり煮込んだ料理。,"1. 豚バラ肉を下茹でしてアクを取る。\n2. 醤油、酒、みりん、砂糖、生姜などと共に、柔らかくなるまで煮込む。",,650,20,58,8
44,鶏そぼろ丼,甘辛く煮た鶏ひき肉と、炒り卵をご飯の上に乗せた、彩りも綺麗な三色丼。,"1. 鶏ひき肉を醤油、砂糖、みりんで汁気がなくなるまで煮る。\n2. 卵を甘めに味付けして炒り卵を作る。\n3. ご飯の上に鶏そぼろ、炒り卵、茹でた絹さやなどを乗せる。",,600,28,15,85
45,タコライス,メキシコ料理のタコスをご飯の上で再現した沖縄発祥の料理。,"1. 牛ひき肉を、チリパウダーやケチャップなどでスパイシーに炒める。\n2. ご飯の上に、千切りレタス、チーズ、トマト、タコミートを乗せる。",,750,25,38,70
46,ガパオライス,鶏ひき肉を、タイのホーリーバジル（ガパオ）とナンプラーで炒め、目玉焼きと一緒にご飯に乗せたタイ料理。,"1. 鶏ひき肉をにんにく、唐辛子と炒める。\n2. ナンプラー、オイスターソース、砂糖で味付けし、バジルを加える。\n3. ご飯に盛り付け、目玉焼きを乗せる。",,720,30,32,75
47,カオマンガイ,鶏の茹で汁で炊いたご飯の上に、茹で鶏を乗せた、東南アジアで人気のチキンライス。,"1. 鶏もも肉を、ネギの青い部分や生姜と共に茹でる。\n2. その茹で汁で、洗った米を炊く。\n3. 茹で鶏をスライスしてご飯に乗せ、特製タレをかける。",,680,35,25,75
48,ビビンバ,ご飯の上に、ナムルや肉、卵などを乗せ、コチュジャンで混ぜて食べる韓国料理。,"1. もやしやほうれん草でナムルを作る。\n2. 牛肉を甘辛く炒める。\n3. ご飯の上に、ナムル、肉、キムチ、目玉焼きなどを彩りよく乗せる。",,780,28,25,105
49,チヂミ,小麦粉の生地に、ニラや海鮮などを混ぜて薄く焼いた、韓国風お好み焼き。,"1. 小麦粉、片栗粉、卵、水で生地を作る。\n2. ざく切りにしたニラや、イカ、エビなどを加えて混ぜる。\n3. ごま油をひいたフライパンで、両面をカリッと焼く。酢醤油のタレでいただく。",,400,15,22,35
50,フォー,米粉で作った平たい麺を、牛や鶏のだしが効いたあっさりしたスープでいただく、ベトナムの国民食。,"1. 牛肉や鶏肉でスープをとる。\n2. 米麺を茹で、スープを注ぎ、薄切り肉やもやし、香草などをトッピングする。",,450,20,8,72
51,ポテトサラダ,茹でて潰したじゃがいもに、きゅうり、人参、ハムなどをマヨネーズで和えた、定番のサラダ。,"1. じゃがいもを茹でて潰し、塩胡椒で下味をつける。\n2. 薄切りにして塩揉みしたきゅうり、茹でた人参、ハムなどを混ぜる。\n3. マヨネーズで和える。",,250,8,18,15
52,マカロニサラダ,茹でたマカロニを、ツナやコーン、きゅうりと共にマヨネーズで和えたサラダ。,"1. マカロニを茹でる。\n2. ツナ、コーン、薄切りきゅうりなどと混ぜ、マヨネーズ、塩胡椒で味を整える。",,300,10,20,20
53,ほうれん草のごま和え,茹でたほうれん草を、醤油と砂糖で味付けしたすりごまで和えた、和食の定番副菜。,"1. ほうれん草を茹でて水気を絞り、食べやすく切る。\n2. すりごま、醤油、砂糖を混ぜた和え衣で和える。",,80,5,5,5
54,ひじきの煮物,乾燥ひじきを、人参や油揚げ、大豆などと共に甘辛く煮た、鉄分豊富な常備菜。,"1. ひじきを水で戻す。\n2. 鍋でひじき、人参、油揚げなどをだし汁、醤油、みりん、砂糖で煮る。",,150,8,6,20
55,切り干し大根の煮物,切り干し大根を、人参や油揚げと共にだしで煮含めた、素朴な味わいの副菜。,"1. 切り干し大根を水で戻し、食べやすく切る。\n2. だし汁、醤油、みりんなどで、味が染みるまで煮る。",,120,5,3,20
56,卯の花（おから）,おからを、鶏肉や野菜と共にだしで炒り煮にした、食物繊維が豊富なヘルシーな一品。,"1. おから、鶏ひき肉、人参、ネギなどを、だし汁、醤油、みりんなどで汁気がなくなるまで炒り煮にする。",,180,10,8,20
57,白和え,水切りした豆腐を、すりごまや味噌で和えた衣で、ほうれん草やこんにゃくなどの具材を和えた料理。,"1. 豆腐を水切りして潰し、すりごま、砂糖、味噌などを混ぜて和え衣を作る。\n2. 下茹でした野菜やこんにゃくを衣で和える。",,160,12,8,10
58,なすの揚げ浸し,素揚げしたなすを、生姜風味のだし汁に浸した、味がよく染みた副菜。,"1. なすに切り込みを入れ、素揚げする。\n2. だし汁、醤油、みりん、すりおろし生姜を合わせたつけ汁に、熱いうちに浸す。",,200,3,15,15
59,たたききゅうり,きゅうりを叩いて割り、ごま油やニンニク、塩などで和えた、箸休めにぴったりの簡単おつまみ。,"1. きゅうりを麺棒などで叩いて食べやすい大きさに割る。\n2. ごま油、塩、すりおろしにんにくなどで和える。",,90,2,8,4
60,ゴーヤチャンプルー,ゴーヤ、豆腐、豚肉、卵を炒め合わせた、沖縄の代表的な家庭料理。,"1. ゴーヤはワタを取り、薄切りにして塩揉みする。豆腐は水切りしておく。\n2. 豚肉、ゴーヤ、豆腐の順に炒め、溶き卵を加えて仕上げる。鰹節と醤油で味付け。",,350,20,25,10
61,豚キムチ,豚肉とキムチを炒め合わせた、手軽で美味しいピリ辛料理。,"1. 豚バラ肉を炒める。\n2. キムチを加えてさらに炒め、醤油やごま油で風味付けする。",,420,18,35,8
62,ニラ玉,ニラと卵をさっと炒め合わせた、彩りも綺麗なスピードおかず。,"1. ニラをざく切りにする。\n2. 溶き卵に、鶏がらスープの素などで味付けし、ニラを加えてフライパンで炒める。",,220,15,16,4
63,青椒肉絲（チンジャオロース）,細切りにした豚肉とピーマン、たけのこをオイスターソースで炒めた中華料理。,"1. 豚肉、ピーマン、たけのこを細切りにする。\n2. 豚肉に下味をつけて炒め、野菜を加えてさらに炒める。\n3. オイスターソース、醤油などで味付けする。",,350,20,22,15
64,バンバンジー,茹でた鶏肉を細く裂き、きゅうりの上に乗せ、風味豊かなごまだれをかけた、さっぱりとした中華の前菜。,"1. 鶏むね肉を茹でて冷まし、手で細く裂く。\n2. 千切りにしたきゅうりの上に盛り付け、練りごま、醤油、酢、砂糖などで作ったタレをかける。",,300,25,18,8
65,油淋鶏（ユーリンチー）,揚げた鶏肉に、刻みネギと生姜が入った甘酸っぱい醤油ベースのタレをかけた料理。,"1. 鶏もも肉に片栗粉をまぶして揚げる。\n2. 醤油、酢、砂糖、ごま油に、刻んだ長ネギをたっぷり加えたタレをかける。",,550,30,40,15
66,ロールキャベツ,ひき肉のたねを、茹でて柔らかくしたキャベツで巻いて、コンソメスープで煮込んだ洋食。,"1. ひき肉と玉ねぎなどでたねを作る。\n2. 茹でたキャベツでたねを巻き、スープで煮込む。",,400,20,28,15
67,チキン南蛮,揚げた鶏肉を甘酢に漬け、タルタルソースをかけていただく、宮崎県発祥の人気料理。,"1. 鶏肉に衣をつけて揚げ、甘酢ダレにさっと漬ける。\n2. ゆで卵と玉ねぎ、マヨネーズで作ったタルタルソースをたっぷりかける。",,750,35,50,35
68,ポークチャップ,豚肉をソテーし、ケチャップベースのソースで仕上げた、どこか懐かしい味わいの洋食。,"1. 豚ロース肉の筋を切り、塩胡椒してソテーする。\n2. ケチャップ、ウスターソース、玉ねぎなどと軽く煮詰めてソースを作る。",,500,28,35,15
69,ビーフシチュー,牛肉と野菜を、デミグラスソースと赤ワインでじっくり煮込んだ、ごちそう感のある煮込み料理。,"1. 牛肉の表面を焼き固める。\n2. 炒めた野菜と赤ワイン、デミグラスソースなどを加え、肉が柔らかくなるまで煮込む。",,680,30,45,35
70,ミートソーススパゲッティ,ひき肉とトマトソースを煮込んだソースを、スパゲッティにかけた、イタリア料理の定番。,"1. ひき肉と玉ねぎ、セロリなどを炒める。\n2. トマト缶と赤ワイン、ハーブなどを加えて煮込む。\n3. 茹でたスパゲッティにかける。",,750,28,30,85
71,カルボナーラ,卵黄、チーズ、ベーコン（パンチェッタ）で作る、クリーミーで濃厚な味わいのパスタ。,"1. ベーコンを炒める。\n2. ボウルで卵黄、粉チーズ、黒胡椒を混ぜておく。\n3. 茹でたてのパスタとベーコン、②を素早く混ぜ合わせる。",,800,25,50,60
72,ペペロンチーノ,にんにくと唐辛子、オリーブオイルで作る、シンプルながら奥深い味わいのオイルベースパスタ。,"1. オリーブオイルで、スライスしたにんにくと唐辛子を弱火でじっくり加熱し、香りを出す。\n2. パスタの茹で汁を加えて乳化させ、茹でたパスタと和える。",,550,15,30,55
73,ナポリタン,ソーセージや玉ねぎ、ピーマンをケチャップで炒めた、日本発祥のスパゲッティ。,"1. ソーセージと野菜を炒める。\n2. 茹でたスパゲッティを加え、ケチャップをメインに味付けしながら炒める。",,650,20,25,80
74,ドリア,バターライスやチキンライスの上に、ホワイトソースとチーズを乗せてオーブンで焼き上げた、日本生まれの米料理。,"1. バターライスを作る。\n2. ホワイトソースとチーズを乗せ、オーブンで焼き色がつくまで焼く。",,720,25,40,65
75,ラタトゥイユ,なす、ズッキーニ、パプリカなどの夏野菜を、トマトとハーブで煮込んだ、南フランスの野菜煮込み料理。,"1. 野菜をそれぞれ角切りにする。\n2. オリーブオイルでニンニクと野菜を炒め、トマト缶とハーブを加えて煮込む。",,250,5,15,25
76,アクアパッツァ,魚介類を、水と白ワイン、トマト、オリーブなどで煮込んだ、イタリアのシンプルな魚料理。,"1. フライパンで魚の表面を焼く。\n2. アサリやトマト、オリーブ、白ワインなどを加え、蓋をして蒸し煮にする。",,450,35,28,8
77,リゾット,生の米を、バターや玉ねぎと炒め、スープを少しずつ加えながら炊き上げた、イタリアの米料理。,"1. 米を洗わずに、玉ねぎと共にオリーブオイルで炒める。\n2. 白ワインを加え、アルコールを飛ばしたら、温かいブイヨンを少しずつ加えながら煮詰めていく。",,550,15,20,75
78,ピラフ,生の米を、具材と共にバターで炒めてから炊き上げた、西洋風の炊き込みご飯。,"1. 米と、エビやマッシュルームなどの具材をバターで炒める。\n2. コンソメスープを加えて炊飯器で炊く。",,580,18,15,90
79,炊き込みご飯,米と、鶏肉やきのこ、野菜などの具材、だし汁、調味料を一緒に炊き込んだ、日本の代表的なご飯もの。,"1. 米を洗い、炊飯器に入れる。\n2. 鶏肉やきのこなどの具材、だし汁、醤油、みりんなどを加えて炊く。",,480,15,8,85
80,おにぎり,ご飯を、手で三角形や俵形に握り、海苔を巻いた、日本のソウルフード。,"1. 温かいご飯に塩を混ぜる。\n2. 梅干しや鮭、昆布などの具を中心に置き、形を整える。\n3. 海苔を巻く。",,200,5,1,40
81,いなり寿司,甘辛く煮た油揚げの中に、酢飯を詰めた寿司の一種。,"1. 油揚げを、だし汁、醤油、砂糖で煮る。\n2. 酢飯を作り、油揚げに詰める。",,350,10,12,50
82,チャーハン,ご飯と卵、チャーシュー、ネギなどを炒めた、中華料理の定番ご飯もの。,"1. フライパンに油を熱し、溶き卵を炒める。\n2. ご飯を加えてほぐし、チャーシューやネギなどの具材と調味料を加えて手早く炒める。",,700,20,28,90
83,鶏肉のトマト煮,鶏肉と玉ねぎなどを、トマト缶とハーブで煮込んだ、手軽なイタリアン風煮込み料理。,"1. 鶏肉の表面を焼き付ける。\n2. 玉ねぎなどの野菜を炒め、トマト缶とコンソメ、ハーブを加えて煮込む。",,420,30,22,20
84,豚バラと白菜の重ね蒸し,豚バラ肉と白菜を交互に重ね、だしや酒で蒸し煮にした、シンプルながら旨味たっぷりの料理。,"1. 鍋に、白菜と豚バラ肉を交互に敷き詰める。\n2. 酒とだし汁を振りかけ、蓋をして火にかけ、白菜がくたっとするまで蒸し煮にする。",,380,15,32,6
85,ミネストローネ,たくさんの野菜をトマト味で煮込んだ、イタリアの具沢山スープ。,"1. ベーコンと、玉ねぎ、セロリ、人参などの野菜を角切りにして炒める。\n2. トマト缶とブイヨンを加え、野菜が柔らかくなるまで煮込む。",,280,8,12,35
86,ポトフ,牛肉やソーセージと、大きく切った野菜を、ブイヨンでじっくり煮込んだ、フランスの家庭料理。,"1. 牛肉やソーセージ、じゃがいも、人参、玉ねぎなどを鍋に入れる。\n2. 水とブイヨンを加え、アクを取りながらコトコト煮込む。粒マスタードを添える。",,550,25,35,30
87,クラムチャウダー,アサリと、じゃがいもや玉ねぎなどの野菜を、牛乳ベースで煮込んだ、アメリカのクリーミーなスープ。,"1. ベーコンと野菜を炒める。\n2. アサリの缶詰（汁ごと）、牛乳を加え、とろみがつくまで煮る。",,350,15,20,25
